CCTV_TY,LO,LA,CCTV_CNT,STD_DATE,DONG,ADDR
불법주정차 단속,127.370488,36.322423,4,2012.12.,도마1동,대전광역시 서구 도마로 2(경남아파트)
불법주정차 단속,127.398453,36.350931,3,2012.12.,둔산3동,대전광역시 서구 둔산로 220(청솔아파트)
불법주정차 단속,127.376896,36.352114,4,2012.12.,둔산2동,대전광역시 서구 둔산로 25(타임월드)
불법주정차 단속,127.389869,36.353261,4,2012.12.,둔산1동,대전광역시 서구 문예로 73(한마루네거리)
불법주정차 단속,127.363667,36.355935,5,2017.06.,월평1동,대전광역시 서구 월평로 60(신촌네거리)
불법주정차 단속,127.376886,36.362436,5,2017.06.,월평2동,대전광역시 서구 월평북로 77(백합네거리)
불법주정차 단속,127.389866,36.350946,4,2017.06.,둔산1동,대전광역시 서구 둔산로 144(크로바네거리)
불법주정차 단속,127.378934,36.361891,4,2017.06.,월평2동,대전광역시 서구 대덕대로 325(정부청사)
불법주정차 단속,127.375666,36.35393,4,2017.06.,둔산2동,대전광역시 서구 둔산로 15(둔산여고)
불법주정차 단속,127.381693,36.333279,3,2017.06.,내동,대전광역시 서구 갈마로 262(한민시장)
불법주정차 단속,127.379352,36.313916,3,2017.06.,도마2동,대전광역시 서구 도산로 61(도마시장)
불법주정차 단속,127.388313,36.354462,3,2017.06.,둔산1동,대전광역시 서구 둔산중로 78번길 15(검찰청)
불법주정차 단속,127.352746,36.348394,3,2017.06.,월평1동,대전광역시 서구 월드컵대로 480(지하철본부)
불법주정차 단속,127.365289,36.306405,3,2017.06.,정림동,대전광역시 서구 정림로 66번길 3(우성아파트)
불법주정차 단속,127.388785,36.35156,3,2017.06.,둔산1동,대전광역시 서구 둔산로 133(현대아이텔)
불법주정차 단속,127.389843,36.349637,3,2017.06.,둔산1동,대전광역시 서구 문예로 33(목련네거리)
불법주정차 단속,127.363727,36.354727,5,2017.06.,월평1동,대전광역시 서구 월평중로 1(대전일보) 
불법주정차 단속,127.38618,36.348192,5,2011.02,탄방동,대전광역시 서구 둔산중로 19(샤크존)
불법주정차 단속,127.377378,36.350358,4,2011.02,둔산2동,대전광역시 서구 월평중로 55(은뜰삼거리)
불법주정차 단속,127.361834,36.357222,4,2011.07,월평1동,대전광역시 서구 한밭대로570번길 26(이마트)
불법주정차 단속,127.382463,36.358255,4,2011.12,둔산2동,대전광역시 서구 한밭대로755(삼성생명)
불법주정차 단속,127.384311,36.333681,3,2011.12,가장동,대전광역시 서구 가장로 106(래미안아파트)
불법주정차 단속,127.344047,36.320874,4,2011.12,가수원동,대전광역시 서구 원도안로 200(도안초등학교)
불법주정차 단속,127.378038,36.369671,3,2012.04,만년동,대전광역시 서구 대덕대로 415(테크노 월드)
불법주정차 단속,127.387285,36.347295,4,2012.04,탄방동,대전광역시 서구 둔산중로 8(로데오 타운)
불법주정차 단속,127.392772,36.346464,3,2012.04,탄방동,대전광역시 서구 문정로 122(공작한양아파트)
불법주정차 단속,127.378344,36.299768,5,2012.04,복수동,대전광역시 서구 복수동로 52(초록마을아파트)
불법주정차 단속,127.364258,36.304875,4,2012.04,정림동,대전광역시 서구 정림로 55(수밋들공원)
불법주정차 단속,127.389287,36.340842,5,2013.05,괴정동,대전광역시 서구 계룡로 598(탄방네거리)
불법주정차 단속,127.378427,36.361664,4,2013.05,월평2동,대전광역시 서구 월평북로 90(일산빌딩삼거리) 
불법주정차 단속,127.354125,36.3460954,4,2013.05,월평1동,대전광역시 서구 월평중로 3번길 99(마이웨딩홀)
불법주정차 단속,127.376019,36.350516,5,2013.05,둔산2동,대전광역시 서구 대덕대로 185번길 30(갤러리아 옥외주차장)
불법주정차 단속,127.377813,36.355571,5,2013.05,둔산2동,대전광역시 서구 둔산북로 30(이마트둔산점) 
불법주정차 단속,127.371124,36.347866,3,2013.05,갈마2동,대전광역시 서구 갈마중로 15(둔산소방서)
불법주정차 단속,127.3951335,36.3514053,5,2013.1,둔산1동,대전광역시 서구 둔산로 155(문정네거리)
불법주정차 단속,127.38919,36.346418,4,2016.06,탄방동,대전광역시 서구 문정로 90(세이탄방점)
불법주정차 단속,127.377837,36.359402,5,2017.06,월평2동,대전광역시 서구 청사로 128(칼릭스)
불법주정차 단속,127.341155,36.328528,4,2017.06,가수원동,대전광역시 서구 도안북로 107(남대전농협)
불법주정차 단속,127.378769,36.330587,5,2017.06,내동,대전광역시 서구 동서대로 682(스타벅스)
불법주정차 단속,127.349413,36.303473,5,2017.06,가수원동,대전광역시 서구 원도안로 16(지산프라자)
불법주정차 단속,127.338673,36.299256,5,2017.06,관저2동,대전광역시 서구 구봉로147번길 64(느리울유치원)
불법주정차 단속,127.374617,36.347331,4,2017.06,갈마2동,대전광역시 서구 갈마중로47(제일교회)
불법주정차 단속,127.3797399,36.3523628,5,2018.04,둔산2동,대전광역시 서구 대덕대로 222(삼성전자서비스센터)
불법주정차 단속,127.3364301,36.2960982,3,2018.06,관저2동,대전광역시 서구 구봉로 122(순복음예광교회)
불법주정차 단속,127.3506511,36.2992967,5,2018.06,가수원동,대전광역시 서구 구봉로 133(에스프라자)
불법주정차 단속,127.3388259,36.296547,4,2018.06,관저2동,대전광역시 서구 관저동 1539(노브랜드)
불법주정차 단속,127.3446659,36.3165224,5,2018.06,가수원동,대전광역시 서구 원도안로 43(우미프라자)
불법주정차 단속,127.3459405,36.3196372,3,2018.06,가수원동,대전광역시 서구 도안동로 177(수목토아파트117동)
불법주정차 단속,127.38199,36.350547,5,2018.06,둔산2동,대전광역시 서구 둔산로 74번길 20(둔산초등학교)
불법주정차 단속,127.3883319,36.3307119,3,2018.06,가장동,대전광역시 서구 가장로 150(가장초등학교)
불법주정차 단속,127.3473864,36.3111374,3,2018.06,가수원동,대전광역시 서구 원도안로 80(도솔초등학교)
불법주정차 단속,127.3693786,36.3564838,4,2018.06,갈마1동,대전광역시 서구 월평동로 2(갈마초등학교)
불법주정차 단속,127.4000356,36.3510001,4,2018.1,둔산3동,대전광역시 서구 탄방로 91-19(한밭새마을금고)
불법주정차 단속,127.375743,36.3329972,3,2019.03,내동,대전광역시 서구 도솔로 160(푸르내리빌라)
불법주정차 단속,127.357743,36.354799,4,2019.08,월평1동,대전광역시 서구 월평서로13(월평초등학교)
불법주정차 단속,127.390275,36.346133,4,2019.08,탄방동,대전광역시 서구 탄방로 8(탄방초등학교)
불법주정차 단속,127.350875,36.305799,4,2019.08,가수원동,대전광역시 서구 도안동로 11번길(CGV가수원점)
불법주정차 단속,127.373996,36.322735,5,2019.1,도마1동,대전광역시 서구 도마로 33(귀빈장마트)
불법주정차 단속,127.373702,36.319658,5,2019.1,도마1동,대전광역시 서구 도솔로 100(대청애견수족관)
불법주정차 단속,127.371254,36.324019,5,2019.1,도마1동,대전광역시 서구 배재로172번길 23(도마초등학교)
불법주정차 단속,127.349745,36.304957,3,2019.1,가수원동,대전광역시 서구 계백로 1135(MK클리닉)
불법주정차 단속,127.352454,36.305593,3,2019.1,가수원동,대전광역시 서구 도안동로 3(리더스프라자)
불법주정차 단속,127.389035,36.349376,5,2019.1,둔산1동,대전광역시 서구 둔산남로 103(오투저축은행)
불법주정차 단속,127.389806,36.359716,5,2019.1,둔산2동,대전광역시 서구 청사로 234(센텀병원)
불법주정차 단속,127.373168,36.354841,3,2019.1,갈마1동,대전광역시 서구 신갈마로230번길 77(국민생활관)
불법주정차 단속,127.333315,36.302123,4,2019.11,관저1동,대전광역시 서구 봉우로8번길 23 (롯데시네마 1)
불법주정차 단속,127.334153,36.303243,3,2019.11,관저1동,대전광역시 서구 봉우로8번길 23 (롯데시네마 2)
불법주정차 단속,127.37092,36.3225,3,2020.03,도마1동,대전광역시 서구 도마로7번길 3(김밥천국)
불법주정차 단속,127.372213,36.32254,3,2020.03,도마1동,대전광역시 서구 도마로19번길 3(해든마켓)
불법주정차 단속,127.373571,36.35142,4,2020.03,갈마1동,대전광역시 서구 갈마역로 9-1(갈마동 쉐보레서비스)
불법주정차 단속,127.393142,36.341841,3,2020.05,탄방동,대전광역시 서구 탄방로 65(탄방동 e편한세상아파트입구)
차량번호인식,127.317439,36.238622,1,2009.05,기성동,대전광역시 서구 평촌동 산 12-17 벌곡로
차량번호인식,127.3979,36.357508,3,2009.05,둔산3동,대전광역시 서구 둔산3동 2154 한밭대로
차량번호인식,127.318756,36.286453,1,2012.04,관저2동,"대전광역시 서구 관저2동 862-8 호남고속육교전(계백로,논산방향)"
차량번호인식,127.321094,36.288753,1,2012.04,관저2동,대전광역시 서구 관저2동 872-9 서대전 IC 입구
차량번호인식,127.347736,36.323903,3,2012.04,가수원동,대전광역시 서구 가수원동-도안동 244 수목토 아파트 3가
차량번호인식,127.377903,36.304097,2,2013.06,복수동,대전광역시 서구 복수동 333 혜천대정문 부근
차량번호인식,127.371253,36.318522,2,2013.06,도마2동,대전광역시 서구 도마2동 359-12 조달청 앞
차량번호인식,127.361994,36.353839,4,2013.06,월평1동,대전광역시 서구 월평1동 1-3 대전일보사 앞
차량번호인식,127.401897,36.3495,3,2015.05,둔산3동,대전광역시 서구 둔산동 2275 삼천교 인근
차량번호인식,127.396558,36.335636,4,2015.05,용문동,대전광역시 서구 계룡로681 순복음교회 앞
차량번호인식,127.379448,36.369412,4,2016.1,만년동,대전광역시 서구 만년동 414 KBS 맞은편
차량번호인식,127.378512,36.324186,3,2016.1,변동,대전광역시 서구 도산로 177 복음천하감리교회 앞
차량번호인식,127.371253,36.318522,2,2016.1,도마2동,대전광역시 서구 배재로 117 무지개장식 앞
차량번호인식,127.378779,36.324429,3,2017.06,변동,대전광역시 서구 도산로 182 복음천하감리교회 맞은편
차량번호인식,127.387617,36.340395,2,2017.06,괴정동,대전광역시 서구 도솔로 377 예지중고등학교 맞은편
차량번호인식,127.383948,36.317478,2,2019.05,도마1동,대전광역시 서구 유등로 295 서대전 구세군교회 앞
차량번호인식,127.377472,36.349939,2,2020.06,둔산2동,대전광역시 서구 대덕대로 191 모태산부인과
차량번호인식,127.366023,36.358116,4,2017.06,월평3동,대전광역시 서구 한밭대로 지하 595 월평역 4번출구 부근
